id	year	q_num	question_text	choice1	choice2	choice3	choice4	correct_answer_num	tags
p1_a	21	1-ア	-4+(-11)	-15	-7	7	15	1	数と式
p1_i	21	1-イ	1/6 - 4/7	-31/42	-17/42	17/42	31/42	2	数と式
p1_u	21	1-ウ	36a^2b^2*6b÷8a	27ab^2	27ab^3	48ab^2	48ab^3	2	数と式
p1_e	21	1-エ	(2x+y)/3 - (x-3y)/5	(7x-14y)/15	(7x-4y)/15	(7x+4y)/15	(7x+14y)/15	4	数と式
p1_o	21	1-オ	(4+√3)(4-√3)-2(1-√3)	5+2√3	5+4√3	11+2√3	11+4√3	3	数と式 平方根
p2_a	21	2-ア	(x-5)^2-7(x-5)-18 を因数分解しなさい。	(x-14)(x-7)	(x-14)(x-3)	(x-7)(x-4)	(x-4)(x-3)	2	数と式 因数分解
p2_i	21	2-イ	2次方程式 5x^2+7x+1=0 を解きなさい。	x=(-7+√29)/10	x=(-7+√69)/10	x=(7+√29)/10	x=(7+√69)/10	1	方程式
p2_u	21	2-ウ	関数 y=-4x^2 について、xの値が-5から-1まで増加するときの変化の割合を求めなさい。	-24	-16	16	24	4	関数
p2_e	21	2-エ	ある工場で生産している製品Aについて、今週と先週に生産した個数を比べると、今週は先週より1割増え、今週と先週に生産した個数をあわせると567個だった。このとき、この工場で今週に生産した製品Aの個数を求めなさい。	270個	283個	284個	297個	4	文章題
p2_o	21	2-オ	4<√n<5をみたす自然数nのうち、√2nが整数となるようなnの値を求めなさい。	n=12	n=18	n=24	n=32	2	数と式 平方根
p2_ka	21	2-カ	右の図:AD//BC、∠BCD=90°の台形。AD=2cm、BC=CD=3cm。直線lを軸として1回転させてできる立体の体積を求めなさい。	13π cm^3	15π cm^3	19π cm^3	25π cm^3	3	図形 体積
p3_a	24	1-ア	2-8	-10	-6	6	10	2	数と式
p3_i	24	1-イ	-4/5 + 1/4	-21/20	-11/20	11/20	21/20	2	数と式
p3_u	24	1-ウ	(3x-y)/4 - (5x+2y)/9	(7x-17y)/36	(7x-y)/36	(7x+y)/36	(7x+17y)/36	1	数と式
p3_e	24	1-エ	10/√5 + √80	4√5	4√10	6√5	6√10	3	数と式 平方根
p3_o	24	1-オ	(x-2)^2-(x+3)(x-8)	-x+20	-x+28	x+20	x+28	4	数と式
p4_a	24	2-ア	連立方程式 {ax-by=-10、bx+ay=-11} の解が x=3、y=2 であるとき、a、b の値を求めなさい。	a=-8・b=-1	a=-4・b=-1	a=2・b=-5	a=4・b=-5	2	方程式
p4_i	24	2-イ	2次方程式 3x^2-5x-1=0 を解きなさい。	x=(-5±√13)/6	x=(-5±√37)/6	x=(5±√13)/6	x=(5±√37)/6	4	方程式
p4_u	24	2-ウ	関数 y=ax^2 について、xの変域が-3≦x≦2のとき、yの変域は0≦y≦6であった。このときのaの値を求めなさい。	a=2/3	a=3/2	a=2	a=3	1	関数
p4_e	24	2-エ	1本150円のペンをx本と1冊200円のノートをy冊購入したところ、代金の合計は3000円以下であった。このときの数量の関係を不等式で表しなさい。	150x+200y≧3000	150x+200y>3000	150x+200y≦3000	150x+200y<3000	3	文章題
p4_o	24	2-オ	半径が6cmの球の体積を求めなさい。	36π cm^3	144π cm^3	162π cm^3	288π cm^3	4	図形 体積
p4_ka	24	2-カ	x=143、y=47のとき、x^2-9y^2の値を求めなさい。	284	384	568	668	3	数と式 因数分解
p5_a	23	1-ア	-1-(-7)	-8	-6	6	8	3	数と式
p5_i	23	1-イ	-3/7 + 1/2	-13/14	-1/14	1/14	13/14	3	数と式
p5_u	23	1-ウ	12ab^2*6a÷(-3b)	-24a^2b	-24ab^2	24a^2b	24ab^2	1	数と式
p5_e	23	1-エ	(3x+2y)/7 - (2x-y)/5	(x-17y)/35	(x-3y)/35	(x+3y)/35	(x+17y)/35	4	数と式
p5_o	23	1-オ	(√6+5)^2-5(√6+5)	6-5√6	6+5√6	6+10√6	6+15√6	2	数と式 平方根
p6_a	23	2-ア	(x-5)(x+3)-2x+10を因数分解しなさい。	(x-3)(x+3)	(x-5)(x+1)	(x-5)(x+5)	(x+5)(x-1)	2	数と式 因数分解
p6_i	23	2-イ	2次方程式 7x^2+2x-1=0を解きなさい。	x=(-1±√2)/7	x=(-1±4√2)/7	x=(1±2√2)/7	x=(1±4√2)/7	1	方程式
p6_u	23	2-ウ	関数 y=-2x^2について、xの値が-3から-1まで増加するときの変化の割合を求めなさい。	-8	-4	4	8	4	関数
p6_e	23	2-エ	十の位が4の3桁の自然数。百の位と一の位の和は10、入れ替えた数は元の数より396大きい。一の位は？	6	7	8	9	2	文章題
p6_o	23	2-オ	3780/n が自然数の平方となるような、最も小さい自然数nの値を求めなさい。	n=35	n=70	n=105	n=210	3	数と式 平方根
p7_a	22	1-ア	-6+(-9)	-15	-3	3	15	1	数と式
p7_i	22	1-イ	-3/8 + 2/3	-25/24	-7/24	5/24	7/24	4	数と式
p7_u	22	1-ウ	(3x-y)/4 - (x-2y)/6	(7x-7y)/12	(7x-y)/12	(7x+y)/12	(11x+y)/12	3	数と式
p7_e	22	1-エ	18/√2 - √32	√2	5√2	7√2	14√2	2	数と式 平方根
p7_o	22	1-オ	(x-2)(x-5)-(x-3)^2	-13x+1	-13x+19	-x+1	-x+19	3	数と式
